                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.0286,                 1.4368,                0.82288,                0.77149,                   0.76,                0.82162,                0.42669,                 1.7286,                0.94423,                0.51937,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.0462,                  1.416,                0.82143,                0.58127,                   0.62,                0.65504,                 0.3195,                  1.752,                 1.1321,                0.52404,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.0225,                 1.4014,                0.82479,                0.52469,                   0.67,                0.58189,                0.30217,                 1.7421,                 1.1955,                0.52296,              0.0012806,              0.0012806,              0.0012806
                    111,                  1.026,                 1.3922,                0.81938,                0.51237,                   0.74,                0.65515,                0.32982,                 1.7296,                 1.0974,                0.51116,               0.001274,               0.001274,               0.001274
                    112,                 1.0183,                 1.3705,                0.82457,                0.68193,                   0.79,                0.79648,                0.40324,                 1.7201,                0.92132,                0.52234,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.0268,                 1.4126,                 0.8256,                0.68352,                   0.68,                0.77058,                0.37873,                 1.7127,                0.98538,                0.51608,              0.0012608,              0.0012608,              0.0012608
                    114,                0.99997,                  1.394,                0.82604,                0.82621,                   0.89,                0.93335,                0.52198,                 1.7431,                0.79707,                0.51722,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.0304,                 1.3997,                0.82101,                0.70695,                    0.9,                0.90215,                0.52081,                 1.6671,                 0.7728,                0.52246,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.0146,                 1.3839,                0.81895,                 0.9244,                   0.83,                0.93262,                0.50255,                  1.672,                0.77688,                0.51706,               0.001241,               0.001241,               0.001241
                    117,                0.99914,                 1.3853,                0.82695,                0.80461,                0.78244,                 0.8851,                0.49917,                 1.6928,                0.81552,                0.52732,              0.0012344,              0.0012344,              0.0012344
                    118,                 1.0127,                 1.3683,                0.82281,                0.76365,                   0.81,                 0.8693,                0.46064,                  1.688,                0.83425,                0.51702,              0.0012278,              0.0012278,              0.0012278
                    119,                 1.0135,                 1.3698,                 0.8198,                0.81078,                0.81415,                0.88051,                0.43914,                 1.6868,                0.88923,                0.51501,              0.0012212,              0.0012212,              0.0012212
                    120,                 1.0029,                 1.3723,                0.82563,                0.72928,                0.80817,                0.85628,                 0.4702,                 1.6954,                 0.9233,                0.51845,              0.0012146,              0.0012146,              0.0012146
                    121,                 1.0008,                   1.38,                0.82607,                0.75821,                   0.79,                0.83636,                0.46587,                  1.691,                0.90653,                0.52475,               0.001208,               0.001208,               0.001208
                    122,                 1.0094,                 1.3657,                0.82213,                0.90212,                   0.84,                0.92758,                0.51333,                 1.6949,                0.84449,                0.51938,              0.0012014,              0.0012014,              0.0012014
                    123,                  1.014,                 1.3505,                0.82094,                 0.8345,                    0.9,                0.93028,                  0.524,                 1.6724,                0.74705,                0.52153,              0.0011948,              0.0011948,              0.0011948
                    124,                 1.0029,                 1.3583,                0.81808,                0.84655,                0.82751,                0.90613,                0.48556,                 1.6578,                0.75081,                0.52276,              0.0011882,              0.0011882,              0.0011882
                    125,                 1.0048,                  1.378,                0.82151,                0.71808,                   0.77,                0.83637,                0.45107,                 1.6787,                0.87341,                0.52133,              0.0011816,              0.0011816,              0.0011816
                    126,                 1.0008,                  1.359,                0.82072,                0.71274,                   0.72,                0.78273,                0.44044,                 1.6919,                0.97882,                0.52253,               0.001175,               0.001175,               0.001175
                    127,                 1.0039,                 1.3738,                  0.818,                0.79853,                   0.88,                0.92166,                0.53605,                 1.6957,                0.73904,                0.52806,              0.0011684,              0.0011684,              0.0011684
                    128,                 1.0128,                 1.3556,                0.81812,                0.80036,                   0.82,                0.89671,                0.46245,                  1.679,                0.87538,                0.51396,              0.0011618,              0.0011618,              0.0011618
                    129,                 1.0028,                 1.3516,                0.81876,                0.74665,                   0.84,                0.88986,                0.50895,                 1.6485,                0.77544,                0.51543,              0.0011552,              0.0011552,              0.0011552
                    130,                 1.0151,                 1.3701,                0.81832,                0.70925,                   0.78,                0.81962,                0.46676,                 1.7287,                0.87609,                0.52095,              0.0011486,              0.0011486,              0.0011486
                    131,                 1.0046,                 1.3464,                0.81921,                0.70559,                   0.76,                0.82182,                0.45459,                  1.656,                0.95842,                0.52199,               0.001142,               0.001142,               0.001142
